evolvy_id,evolvy_inbox,chatwoot_inbox,created_at,data,periodo,status
32956,5599,1,1704380877,2024-01-04,dentro_periodo,importado
32957,5598,1,1704381247,2024-01-04,dentro_periodo,importado
32960,5598,1,1704382432,2024-01-04,dentro_periodo,importado
32961,5871,7,1704382526,2024-01-04,dentro_periodo,importado
32963,5598,1,1704382749,2024-01-04,dentro_periodo,importado
32964,5598,1,1704382750,2024-01-04,dentro_periodo,importado
32965,5598,1,1704382835,2024-01-04,dentro_periodo,importado
32967,5598,1,1704383317,2024-01-04,dentro_periodo,importado
32968,5598,1,1704383401,2024-01-04,dentro_periodo,importado
32969,5871,7,1704384247,2024-01-04,dentro_periodo,importado
32970,5598,1,1704384343,2024-01-04,dentro_periodo,importado
