chatwoot_id,evolvy_id,evolvy_inbox_id,inbox_id,inbox_name,status_anterior,status_novo,created_at
199443,95182,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 14:08:06
199445,95185,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 14:11:08
199446,95186,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 14:14:05
199447,95191,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 14:29:10
199449,95193,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 14:30:05
199450,95194,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 14:32:06
199452,95196,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 14:37:06
199454,95198,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 14:40:05
199455,95200,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 14:42:05
199459,95204,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 14:52:05
